merchant_id,merchant_name,mcc,segment,country,onboarded_at
m_0001,Alpina Market #001,5812,restaurant,DE,2025-04-06 02:33:27
m_0002,Tirol Tankstelle #002,5411,grocery,DE,2025-02-03 18:19:43
m_0003,Nordstern Retail #003,5812,restaurant,AT,2025-03-26 21:51:13
m_0004,Salzkammergut Store #004,5411,grocery,AT,2025-03-19 05:18:04
m_0005,MegaCard Shop #005,5541,fuel,DE,2025-06-24 10:55:54
m_0006,Alpina Market #006,5812,restaurant,DE,2025-03-04 00:07:57
m_0007,PixelTech #007,5541,fuel,AT,2025-03-25 14:52:10
m_0008,PixelTech #008,6540,giftcard,AT,2025-05-28 13:10:44
m_0009,Speck & Co #009,5411,grocery,DE,2025-01-17 20:59:14
m_0010,MegaCard Shop #010,5541,fuel,AT,2025-05-28 00:11:46
m_0011,Dolomiti Foods #011,5411,grocery,IT,2025-05-21 10:40:57
m_0012,Bergblick Groceries #012,5812,restaurant,AT,2025-03-30 12:09:57
m_0013,Bergblick Groceries #013,5541,fuel,IT,2025-02-09 05:24:05
m_0014,Karwendel Kiosk #014,5311,retail,DE,2025-05-22 16:28:56
m_0015,Speck & Co #015,5411,grocery,AT,2025-04-14 16:24:49
m_0016,Bergblick Groceries #016,5541,fuel,DE,2025-03-08 11:07:40
m_0017,GiftBox Express #017,5812,restaurant,AT,2025-05-28 08:46:51
m_0018,MegaCard Shop #018,5411,grocery,AT,2025-05-06 22:32:02
m_0019,Nordstern Retail #019,5732,electronics,AT,2025-01-13 11:11:45
m_0020,Almhuette Bistro #020,5732,electronics,AT,2025-03-23 22:30:09
m_0021,Brenner Bakery #021,5912,pharmacy,IT,2025-05-03 05:00:37
m_0022,Etsch Electronics #022,5411,grocery,AT,2025-06-28 04:48:33
m_0023,Innstadt Elektronik #023,5411,grocery,AT,2025-04-13 00:55:45
m_0024,Rheintal Fuel #024,5541,fuel,CH,2025-06-05 02:40:57
m_0025,Innstadt Elektronik #025,5311,retail,DE,2025-02-05 07:20:13
m_0026,Tirol Tankstelle #026,5541,fuel,AT,2025-03-04 03:08:25
m_0027,Rheintal Fuel #027,5541,fuel,DE,2025-05-30 10:17:28
m_0028,Karwendel Kiosk #028,5311,retail,DE,2025-01-05 11:00:39
m_0029,Tirol Tankstelle #029,5541,fuel,DE,2025-04-14 14:59:27
m_0030,PixelTech #030,5541,fuel,AT,2025-06-18 20:18:21
m_0031,Alpina Market #031,5411,grocery,SI,2025-04-13 06:57:49
m_0032,Wiener Feinkost #032,6540,giftcard,DE,2025-02-11 07:49:14
m_0033,Dolomiti Foods #033,5732,electronics,IT,2025-07-17 03:45:39
m_0034,Innstadt Elektronik #034,5812,restaurant,AT,2025-03-04 17:44:46
m_0035,Voucher World #035,5812,restaurant,CH,2025-05-06 21:21:12
m_0036,Tirol Tankstelle #036,5311,retail,CH,2025-04-30 10:14:21
m_0037,GiftBox Express #037,5411,grocery,IT,2025-01-31 14:04:08
m_0038,Etsch Electronics #038,5411,grocery,IT,2025-02-18 20:10:22
m_0039,Etsch Electronics #039,5411,grocery,CH,2025-03-06 03:05:41
m_0040,Salzkammergut Store #040,5411,grocery,DE,2025-03-24 06:06:08
m_0041,Sonnhof Apotheke #041,5912,pharmacy,DE,2025-06-04 22:52:39
m_0042,Speck & Co #042,6540,giftcard,DE,2025-06-25 08:09:21
m_0043,GiftBox Express #043,5411,grocery,AT,2025-01-09 04:03:12
m_0044,GiftBox Express #044,5812,restaurant,DE,2025-01-03 19:01:24
m_0045,Nordstern Retail #045,5411,grocery,AT,2025-01-13 04:47:23
m_0046,Bergblick Groceries #046,5732,electronics,DE,2025-04-19 03:35:46
m_0047,Sonnhof Apotheke #047,5812,restaurant,DE,2025-07-03 13:36:47
m_0048,Etsch Electronics #048,5411,grocery,IT,2025-03-15 22:44:56
m_0049,Rheintal Fuel #049,5411,grocery,AT,2025-06-09 15:45:03
m_0050,Nordstern Retail #050,5311,retail,DE,2025-02-08 05:19:15
m_0051,PixelTech #051,5411,grocery,IT,2025-02-12 10:27:40
m_0052,Sonnhof Apotheke #052,5411,grocery,DE,2025-02-24 10:35:37
m_0053,Kaiser Supermarkt #053,5311,retail,DE,2025-01-30 06:38:17
m_0054,MegaCard Shop #054,5311,retail,AT,2025-01-06 17:33:11
m_0055,GiftBox Express #055,6540,giftcard,AT,2025-07-08 14:30:12
m_0056,Almhuette Bistro #056,5311,retail,CH,2025-03-05 22:31:45
m_0057,Almhuette Bistro #057,5311,retail,AT,2025-06-26 16:59:07
m_0058,MegaCard Shop #058,5411,grocery,DE,2025-07-09 00:06:22
m_0059,Dolomiti Foods #059,5411,grocery,AT,2025-01-23 17:06:13
m_0060,MegaCard Shop #060,5812,restaurant,AT,2025-05-02 19:00:31
m_0061,Brenner Bakery #061,5411,grocery,DE,2025-03-03 03:22:45
m_0062,Voucher World #062,5411,grocery,AT,2025-03-14 04:00:51
m_0063,Bergblick Groceries #063,5411,grocery,DE,2025-04-02 08:15:33
m_0064,Brenner Bakery #064,5311,retail,AT,2025-01-16 10:25:08
m_0065,Rheintal Fuel #065,5812,restaurant,DE,2025-05-03 20:46:50
m_0066,Sonnhof Apotheke #066,5912,pharmacy,DE,2025-05-03 00:24:21
m_0067,Almhuette Bistro #067,5411,grocery,AT,2025-04-27 12:10:31
m_0068,Bergblick Groceries #068,5311,retail,AT,2025-02-08 19:53:34
m_0069,Sonnhof Apotheke #069,5411,grocery,DE,2025-02-21 10:35:04
m_0070,Bergblick Groceries #070,5912,pharmacy,IT,2025-05-24 12:14:31
m_0071,Karwendel Kiosk #071,5411,grocery,IT,2025-04-28 11:39:50
m_0072,Voucher World #072,5812,restaurant,AT,2025-04-27 06:24:43
m_0073,Tirol Tankstelle #073,5912,pharmacy,CH,2025-02-22 03:41:02
m_0074,Tirol Tankstelle #074,5411,grocery,DE,2025-03-02 08:52:46
m_0075,Salzkammergut Store #075,5411,grocery,AT,2025-05-14 03:52:33
m_0076,Kaiser Supermarkt #076,5411,grocery,DE,2025-04-08 12:37:10
m_0077,Nordstern Retail #077,5912,pharmacy,AT,2025-06-14 12:00:44
m_0078,Nordstern Retail #078,5732,electronics,AT,2025-02-20 19:19:39
m_0079,Kaiser Supermarkt #079,5812,restaurant,AT,2025-06-21 14:12:19
m_0080,Rheintal Fuel #080,5812,restaurant,DE,2025-02-13 10:44:24
m_0081,Innstadt Elektronik #081,5411,grocery,DE,2025-05-24 09:20:32
m_0082,Innstadt Elektronik #082,5812,restaurant,DE,2025-01-17 05:52:23
m_0083,Nordstern Retail #083,5311,retail,CH,2025-03-23 14:03:18
m_0084,Tirol Tankstelle #084,5541,fuel,AT,2025-06-07 19:42:42
m_0085,Innstadt Elektronik #085,6540,giftcard,CH,2025-04-02 22:33:06
m_0086,Wiener Feinkost #086,5732,electronics,CH,2025-01-10 15:01:32
m_0087,PixelTech #087,5411,grocery,IT,2025-06-09 21:26:41
m_0088,GiftBox Express #088,5732,electronics,AT,2025-02-11 23:31:27
m_0089,Nordstern Retail #089,5311,retail,IT,2025-03-28 09:13:57
m_0090,Karwendel Kiosk #090,5411,grocery,AT,2025-03-30 09:20:37
m_0091,Sonnhof Apotheke #091,5411,grocery,AT,2025-04-19 04:46:07
m_0092,Kaiser Supermarkt #092,5732,electronics,AT,2025-07-17 20:00:18
m_0093,MegaCard Shop #093,5311,retail,AT,2025-01-11 17:15:20
m_0094,Kaiser Supermarkt #094,5411,grocery,AT,2025-04-14 02:19:33
m_0095,Salzkammergut Store #095,5411,grocery,DE,2025-05-02 19:41:04
m_0096,Voucher World #096,5311,retail,AT,2025-03-15 19:39:45
m_0097,Rheintal Fuel #097,5411,grocery,AT,2025-03-18 12:30:01
m_0098,Bergblick Groceries #098,5311,retail,CH,2025-05-09 05:41:14
m_0099,Tirol Tankstelle #099,5812,restaurant,DE,2025-04-27 15:12:23
