wallet_id,member_id,country,onboarding_method,marketing_channel,status,created_at
w_000001,mem_000001,AT,card,organic,active,2025-06-03 16:48:46
w_000002,mem_000002,CH,sdd,search,active,2025-09-03 22:04:54
w_000003,mem_000003,AT,sdd,organic,active,2025-11-15 01:09:15
w_000004,mem_000004,AT,card,paid_social,active,2025-03-01 08:50:58
w_000005,mem_000005,DE,card,referral,active,2025-10-20 23:56:41
w_000006,mem_000006,AT,sdd,paid_social,churned,2025-08-31 12:57:53
w_000007,mem_000007,AT,sdd,organic,active,2025-09-03 04:56:09
w_000008,,AT,card,,active,2025-06-25 12:08:33
w_000009,mem_000009,DE,card,search,active,2025-02-05 01:37:27
w_000010,,DE,sdd,referral,churned,2025-12-14 22:10:36
w_000011,mem_000011,AT,card,paid_social,active,2025-07-14 17:04:55
w_000012,mem_000012,AT,card,,active,2025-10-05 09:54:12
w_000013,mem_000013,AT,sdd,paid_social,active,2025-07-23 12:40:22
w_000014,mem_000014,DE,sdd,organic,active,2025-05-12 09:48:37
w_000015,mem_000015,DE,card,partner,active,2025-08-05 16:35:38
w_000016,mem_000016,DE,card,organic,active,2025-12-06 03:33:23
w_000017,mem_000017,DE,card,organic,active,2025-09-12 18:52:23
w_000018,mem_000018,AT,card,partner,active,2025-05-27 06:54:20
w_000019,mem_000019,DE,sdd,organic,active,2025-09-24 04:31:32
w_000020,mem_000020,CH,sdd,organic,active,2025-04-30 22:50:25
w_000021,mem_000021,IT,sdd,paid_social,active,2025-02-23 10:12:07
w_000022,mem_000022,AT,card,organic,active,2025-10-14 20:39:39
w_000023,mem_000023,DE,card,partner,active,2025-05-27 07:17:01
w_000024,mem_000024,DE,sdd,paid_social,active,2025-10-08 01:54:45
w_000025,mem_000025,AT,sdd,,active,2025-04-21 15:43:14
w_000026,mem_000026,AT,card,,active,2025-11-01 14:51:37
w_000027,mem_000027,DE,sdd,organic,active,2025-06-29 07:10:09
w_000028,mem_000028,AT,card,search,active,2025-03-19 13:19:03
w_000029,mem_000029,DE,sdd,organic,active,2025-08-04 08:41:39
w_000030,mem_000030,AT,sdd,partner,churned,2025-03-04 06:13:09
w_000031,mem_000031,CH,sdd,paid_social,blocked,2025-03-28 05:32:39
w_000032,mem_000032,AT,sdd,partner,churned,2025-05-26 05:34:25
w_000033,mem_000033,AT,sdd,partner,active,2025-11-22 21:41:23
w_000034,mem_000034,DE,sdd,organic,active,2025-07-03 11:35:56
w_000035,,AT,card,referral,active,2025-01-31 18:26:15
w_000036,mem_000036,AT,sdd,paid_social,active,2025-06-14 09:01:13
w_000037,mem_000037,IT,sdd,paid_social,active,2025-11-05 07:40:33
w_000038,mem_000038,AT,sdd,referral,active,2025-09-03 10:14:49
w_000039,mem_000039,DE,sdd,paid_social,active,2025-04-04 10:13:16
w_000040,mem_000040,DE,sdd,search,active,2025-07-24 07:13:45
w_000041,mem_000041,AT,sdd,search,churned,2025-01-17 21:46:12
w_000042,mem_000042,AT,card,search,active,2025-05-14 21:47:31
w_000043,,IT,sdd,search,active,2025-02-21 19:28:03
w_000044,mem_000044,AT,sdd,referral,active,2025-06-30 10:35:57
w_000045,,IT,card,organic,active,2025-06-27 17:52:58
w_000046,mem_000046,DE,sdd,search,churned,2025-05-01 10:07:00
w_000047,mem_000047,AT,card,organic,blocked,2025-03-16 05:12:47
w_000048,mem_000048,DE,card,paid_social,blocked,2025-11-07 10:24:40
w_000049,mem_000049,CH,sdd,search,active,2025-03-14 13:15:45
w_000050,mem_000050,SI,sdd,organic,active,2025-10-10 08:53:20
w_000051,mem_000051,AT,card,paid_social,active,2025-02-09 20:16:54
w_000052,mem_000052,DE,card,referral,active,2025-09-25 21:04:26
w_000053,mem_000053,CH,sdd,referral,churned,2025-06-18 21:56:21
w_000054,mem_000054,AT,sdd,search,active,2025-05-22 02:18:18
w_000055,mem_000055,AT,card,paid_social,active,2025-09-21 08:14:46
w_000056,mem_000056,AT,sdd,paid_social,active,2025-05-29 16:27:41
w_000057,mem_000057,DE,sdd,referral,active,2025-06-22 09:48:50
w_000058,mem_000058,AT,sdd,partner,active,2025-04-07 22:32:57
w_000059,mem_000059,DE,card,organic,active,2025-02-15 17:36:43
w_000060,mem_000060,AT,sdd,organic,active,2025-12-22 22:12:09
w_000061,mem_000061,DE,card,organic,active,2025-10-05 01:05:21
w_000062,mem_000062,AT,sdd,organic,active,2025-05-15 22:14:18
w_000063,mem_000063,IT,sdd,organic,active,2025-10-03 13:36:49
w_000064,mem_000064,DE,sdd,paid_social,active,2025-03-20 01:16:22
w_000065,mem_000065,DE,sdd,organic,active,2025-07-01 12:32:17
w_000066,mem_000066,DE,card,organic,active,2025-10-06 10:18:19
w_000067,mem_000067,DE,sdd,search,active,2025-05-04 02:54:43
w_000068,mem_000068,DE,sdd,paid_social,active,2025-10-31 00:34:39
w_000069,,AT,sdd,organic,active,2025-12-04 04:19:08
w_000070,mem_000070,DE,sdd,organic,churned,2025-10-03 11:27:16
w_000071,mem_000071,AT,sdd,paid_social,active,2025-03-18 05:39:59
w_000072,mem_000072,DE,sdd,referral,active,2025-07-15 04:19:16
w_000073,mem_000073,DE,card,organic,active,2025-12-17 07:15:27
w_000074,mem_000074,AT,sdd,paid_social,active,2025-01-18 15:44:04
w_000075,mem_000075,DE,sdd,partner,active,2025-08-29 01:11:17
w_000076,mem_000076,DE,sdd,referral,active,2025-07-07 13:22:19
w_000077,mem_000077,AT,card,organic,active,2025-03-03 09:24:59
w_000078,mem_000078,AT,sdd,search,churned,2025-10-06 23:37:38
w_000079,mem_000079,DE,sdd,organic,active,2025-07-19 23:57:45
w_000080,,IT,sdd,,churned,2025-02-07 14:21:00
w_000081,mem_000081,DE,sdd,search,active,2025-12-17 10:08:47
w_000082,mem_000082,IT,sdd,organic,active,2025-07-13 12:10:17
w_000083,mem_000083,AT,sdd,organic,churned,2025-06-02 17:16:58
w_000084,mem_000084,DE,sdd,organic,active,2025-07-12 04:44:53
w_000085,mem_000085,DE,card,paid_social,blocked,2025-02-11 17:56:43
w_000086,,AT,sdd,paid_social,active,2025-06-05 13:41:28
w_000087,mem_000087,SI,card,organic,active,2025-06-24 21:36:25
w_000088,mem_000088,AT,card,search,active,2025-02-07 13:08:12
w_000089,mem_000089,AT,sdd,referral,active,2025-03-19 07:21:14
w_000090,mem_000090,DE,sdd,organic,active,2025-11-09 05:30:17
w_000091,mem_000091,DE,card,referral,active,2025-08-27 02:12:32
w_000092,mem_000092,DE,sdd,search,active,2025-07-17 00:31:06
w_000093,mem_000093,DE,sdd,partner,active,2025-05-24 01:20:37
w_000094,mem_000094,DE,card,search,active,2025-12-05 16:33:10
w_000095,mem_000095,AT,sdd,paid_social,active,2025-10-29 10:21:15
w_000096,mem_000096,AT,card,organic,active,2025-10-08 01:54:40
w_000097,mem_000097,AT,sdd,referral,active,2025-09-30 01:19:41
w_000098,mem_000098,DE,card,search,active,2025-06-09 08:59:40
w_000099,mem_000099,AT,card,paid_social,active,2025-10-02 02:18:07
w_000100,mem_000100,DE,sdd,referral,active,2025-05-02 20:23:10
w_000101,mem_000101,DE,card,organic,active,2025-12-03 23:07:30
w_000102,mem_000102,CH,card,search,active,2025-04-06 17:43:29
w_000103,mem_000103,AT,sdd,partner,active,2025-10-01 18:09:10
w_000104,mem_000104,DE,sdd,partner,active,2025-11-05 21:42:54
w_000105,mem_000105,IT,sdd,organic,churned,2025-06-03 05:18:32
w_000106,,DE,card,organic,churned,2025-10-05 08:16:45
w_000107,mem_000107,DE,sdd,referral,churned,2025-11-18 13:04:09
w_000108,mem_000108,CH,sdd,organic,active,2025-08-16 21:39:24
w_000109,mem_000109,AT,card,organic,active,2025-02-08 21:54:45
w_000110,mem_000110,DE,card,paid_social,active,2025-08-02 17:39:27
w_000111,mem_000111,AT,card,partner,churned,2025-09-10 15:27:36
w_000112,mem_000112,DE,card,organic,active,2025-02-04 17:50:03
w_000113,mem_000113,AT,card,,blocked,2025-12-24 20:43:52
w_000114,mem_000114,DE,card,organic,active,2025-06-04 04:15:27
w_000115,,AT,card,organic,active,2025-01-15 13:12:36
w_000116,mem_000116,CH,card,paid_social,active,2025-09-07 01:27:53
w_000117,mem_000117,DE,card,referral,active,2025-03-16 21:07:56
w_000118,mem_000118,DE,card,organic,active,2025-01-06 11:16:27
w_000119,mem_000119,DE,sdd,paid_social,active,2025-11-29 11:51:49
w_000120,mem_000120,AT,sdd,organic,active,2025-02-07 01:03:13
w_000121,mem_000121,AT,card,paid_social,active,2025-04-02 11:13:01
w_000122,mem_000122,AT,sdd,organic,active,2025-04-12 13:51:07
w_000123,mem_000123,CH,card,referral,churned,2025-06-07 10:45:24
w_000124,mem_000124,DE,sdd,organic,active,2025-09-06 01:13:15
w_000125,mem_000125,AT,card,partner,churned,2025-03-01 11:47:34
w_000126,mem_000126,AT,sdd,search,active,2025-10-22 03:01:06
w_000127,mem_000127,DE,sdd,partner,active,2025-12-06 02:12:30
w_000128,,DE,card,organic,active,2025-02-13 13:51:42
w_000129,mem_000129,DE,card,paid_social,active,2025-05-08 10:16:40
w_000130,mem_000130,DE,sdd,paid_social,active,2025-12-16 02:15:21
w_000131,mem_000131,AT,sdd,organic,active,2025-01-23 10:08:44
w_000132,mem_000132,AT,sdd,organic,active,2025-01-02 04:06:22
w_000133,mem_000133,CH,sdd,paid_social,active,2025-01-24 09:37:23
w_000134,mem_000134,DE,card,paid_social,active,2025-10-26 15:20:20
w_000135,mem_000135,CH,sdd,referral,blocked,2025-12-13 03:49:52
w_000136,mem_000136,IT,sdd,,active,2025-09-15 00:21:12
w_000137,mem_000137,AT,sdd,organic,active,2025-06-02 15:34:19
w_000138,mem_000138,DE,sdd,organic,active,2025-04-26 20:56:40
w_000139,mem_000139,CH,card,organic,active,2025-06-28 21:20:19
w_000140,mem_000140,CH,card,organic,active,2025-11-11 08:53:00
w_000141,mem_000141,DE,card,organic,active,2025-01-27 03:11:48
w_000142,,DE,card,search,active,2025-10-15 14:20:35
w_000143,mem_000143,IT,card,organic,active,2025-02-24 10:09:29
w_000144,mem_000144,AT,card,,active,2025-08-21 04:59:47
w_000145,mem_000145,AT,card,search,active,2025-07-22 10:24:43
w_000146,mem_000146,DE,sdd,paid_social,active,2025-12-21 00:31:10
w_000147,mem_000147,AT,sdd,organic,active,2025-09-07 20:08:25
w_000148,mem_000148,AT,sdd,search,active,2025-05-27 04:51:47
w_000149,mem_000149,DE,card,paid_social,churned,2025-02-26 01:27:20
w_000150,mem_000150,AT,sdd,paid_social,active,2025-02-22 01:50:06
w_000151,mem_000151,AT,sdd,referral,active,2025-05-25 02:41:34
w_000152,,IT,card,referral,active,2025-08-23 03:38:26
w_000153,mem_000153,AT,card,organic,blocked,2025-03-26 06:44:26
w_000154,mem_000154,SI,sdd,organic,active,2025-03-15 19:08:57
w_000155,mem_000155,AT,sdd,organic,active,2025-08-23 17:25:50
w_000156,mem_000156,AT,sdd,paid_social,active,2025-07-01 01:46:09
w_000157,mem_000157,DE,sdd,organic,active,2025-02-08 07:05:43
w_000158,mem_000158,AT,sdd,organic,active,2025-05-02 12:38:40
w_000159,mem_000159,AT,sdd,paid_social,active,2025-08-15 19:34:18
w_000160,mem_000160,CH,sdd,search,active,2025-11-20 15:30:12
w_000161,mem_000161,DE,sdd,search,active,2025-07-09 18:16:43
w_000162,mem_000162,AT,card,,active,2025-03-07 17:40:14
w_000163,mem_000163,AT,card,organic,active,2025-01-23 19:25:20
w_000164,mem_000164,AT,card,organic,active,2025-01-03 11:30:05
w_000165,mem_000165,DE,card,partner,active,2025-07-16 09:46:20
w_000166,mem_000166,DE,sdd,paid_social,active,2025-09-14 00:58:31
w_000167,mem_000167,DE,card,paid_social,active,2025-04-17 16:46:09
w_000168,mem_000168,DE,sdd,referral,churned,2025-12-20 07:42:08
w_000169,mem_000169,AT,sdd,paid_social,active,2025-04-09 00:42:29
w_000170,mem_000170,AT,card,organic,active,2025-08-08 10:12:07
w_000171,mem_000171,DE,sdd,paid_social,active,2025-11-30 07:10:56
w_000172,,DE,sdd,search,active,2025-09-05 06:55:20
w_000173,mem_000173,CH,card,organic,churned,2025-08-08 18:09:57
w_000174,mem_000174,DE,sdd,organic,blocked,2025-12-17 00:28:22
